Dinornis,Dinornis struthoides,0.063,1.294
Phalacrocorax,Phalacrocorax macer,3.0940000000000003,3.0940000000000003
Sula,Sula sulita,6.2895,6.2895
Scolecophagus,Scolecophagus affinis,1.29985,1.29985
Anhinga,Anhinga pannonica,8.470500000000001,8.470500000000001
Nupharanassa,Nupharanassa bulotorum,31.0,31.0
Leptoptilos,Leptoptilos patagonicus,8.470500000000001,8.470500000000001
Jeholornis,Jeholornis palmapenis,123.955,123.955
Primotrogon,Primotrogon wintersteini,31.15,31.15
Gavia,Gavia fortis,4.4665,4.4665
Nupharanassa,Nupharanassa tolutaria,31.0,31.0
Protocypselomorphus,Protocypselomorphus manfredkelleri,44.5,44.5
Falco,Falco oregonus,0.06885,0.06885
Uria,Uria aalge,0.00585,1.29985
Aythya,Aythya americana,0.06885,1.29985
Palaeoephippiorhynchus,Palaeoephippiorhynchus dietrichi,31.0,31.0
Cyphornis,Cyphornis magnus,28.465,28.465
Grus,Grus grus,0.063,1.29985
Sula,Sula brandi,9.433,9.433
Colymbus,Colymbus oligocaenus,28.465,28.465
Anas,Anas amotape,0.06885,0.06885
Pterodroma,Pterodroma hypoleuca,0.00585,0.06885
Sazavis,Sazavis prisca,88.05,91.4
Fulmarus,Fulmarus hammeri,8.470500000000001,8.470500000000001
Paraprefica,Paraprefica kelleri,44.5,44.5
Falco,Falco sparverius,0.00585,3.35
Athene,Athene veta,2.894,3.9605
Namaortyx,Namaortyx sperrgebietensis,39.65,39.65
Nestor,Nestor notabilis,0.06885,0.06885
Palaeospheniscus,Palaeospheniscus bilocular,18.205000000000002,18.205000000000002
Melanitta,Melanitta nigra,0.00585,4.4665
Butorides,Butorides virescens,0.06885,1.05
Bucephala,Bucephala ossivallis,14.785,14.785
Cursoricoccyx,Cursoricoccyx geraldinae,18.2,18.2
Teratornis,Teratornis merriami,0.063,1.29985
Neophrontops,Neophrontops vetustus,18.2,18.2
Copepteryx,Copepteryx hexeris,25.565,25.715
Palaeastur,Palaeastur atavus,22.615000000000002,22.615000000000002
Haliaeetus,Haliaeetus albicilla,0.00585,1.29985
Gastornis,Gastornis russelli,57.6,57.6
Pinguinus,Pinguinus impennis,0.00585,1.6845
Primobucco,Primobucco kistneri,53.05,53.05
Hesperornis,Hesperornis gracilis,83.25,83.25
Gastornis,Gastornis parisiensis,52.2,57.6
Scolopax,Scolopax hutchensi,1.05,3.35
Walbeckornis,Walbeckornis creber,60.400000000000006,60.400000000000006
Schizooura,Schizooura lii,123.955,123.955
Berruornis,Berruornis orbisantiqui,57.6,57.6
Haematopus,Haematopus finschi,0.06885,0.06885
Gymnogyps,Gymnogyps californianus,0.06885,1.29985
Anas,Anas kurochkini,7.0165,7.0165
Phalacrocorax,Phalacrocorax filyawi,3.0940000000000003,3.0940000000000003
Haematopus,Haematopus palliatus,4.4665,14.785
Phalacrocorax,Phalacrocorax wetmorei,4.4665,14.785
Opisthodactylus,Opisthodactylus patagonicus,13.789000000000001,13.789000000000001
Colymboides,Colymboides metzleri,31.0,31.0
Megapaloelodus,Megapaloelodus opsigonus,6.2895,11.95
Palaeogyps,Palaeogyps prodromus,35.55,35.55
Palaeeudyptes,Palaeeudyptes antarcticus,23.45,36.6
Feitianius,Feitianius paradisi,119.0,119.0
Zygodactylus,Zygodactylus luberonensis,31.15,31.15
Shenqiornis,Shenqiornis mengi,144.25,144.25
Eudocimus,Eudocimus peruvianus,0.06885,0.06885
Passerculus,Passerculus sandwichensis,0.06885,3.35
Mycteria,Mycteria milleri,14.785,14.785
Yandangornis,Yandangornis longicaudus,77.05,77.05
Colaptes,Colaptes auratus,0.063,3.35
Protostrix,Protostrix leptosteus,48.25,48.25
Pachydyptes,Pachydyptes simpsoni,35.95,35.95
Cratoavis,Cratoavis cearensis,119.0,119.0
Phaps,Phaps elegans,0.00585,0.00585
Pasquiaornis,Pasquiaornis tankei,96.55,96.55
Palaeotringa,Palaeotringa littoralis,66.15,68.3
Laornis,Laornis edvardsianus,68.3,68.3
Jibeinia,Jibeinia luanhera,121.2,127.2
Dasornis,Dasornis abdoun,51.9,51.9
Stemec,Stemec suntokum,25.565,25.565
Puffinus,Puffinus inceptor,14.895,14.895
Morus,Morus magnus,5.423,5.423
Upupa,Upupa antaios,1.29985,1.29985
Puffinus,Puffinus felthami,4.4665,4.4665
Eobucco,Eobucco brodkorbi,42.900000000000006,42.900000000000006
Spizella,Spizella pusilla,0.06885,1.05
Pterodroma,Pterodroma inexpectata,0.06885,0.06885
Paraptenodytes,Paraptenodytes antarcticus,13.789000000000001,21.735
Pygoscelis,Pygoscelis grandis,4.4665,4.4665
Anas,Anas cyanoptera,0.06885,3.35
Xinghaiornis,Xinghaiornis lini,123.955,123.955
Emuarius,Emuarius gidju,13.789000000000001,22.185
Fulica,Fulica americana,0.00585,3.35
Larus,Larus atricilla,0.06885,4.4665
Cerorhinca,Cerorhinca dubia,9.433,9.433
Podiceps,Podiceps auritus,0.06885,14.785
Larus,Larus robustus,0.06885,1.29985
Proornis,Proornis coreae,122.75,122.75
