Species	Status
Beckiasorex_hibbardi	extinct
Beremendia	extinct
Blarina	extinct
Blarina_brevicauda	extant
Blarina_carolinensis	extinct
Blarinella	extinct
Blarinini	extinct
Blarinoides	extinct
Blarinoides_aliciae	extinct
Blarinoides_mariae	extinct
Borophaginae	extinct
Borophagus	extinct
Borophagus_diversidens	extinct
Borophagus_dudleyi	extinct
Borophagus_hilli	extinct
Borophagus_littoralis	extinct
Borophagus_orc	extinct
Borophagus_parvus	extinct
Borophagus_pugnator	extinct
Borophagus_secundus	extinct
Brachianodon_westorum	extinct
Brachipposideros	extinct
Brachyallodesmus_packardi	extinct
Brachyopsigale_dubius	extinct
Brachyphylla	extinct
Brachyprotoma_obtusata	extant
Brachypsalis_hyaenoides	extinct
Brachypsalis_matutinus	extinct
Brachypsalis_modicus	extinct
Brachypsalis_obliquidens	extinct
Brachypsalis_pachycephalus	extinct
Brachyrhynchocyon	extinct
Brachyrhynchocyon_dodgei	extinct
Brachyrhynchocyon_intermedius	extinct
Brachyrhynchocyon_montanus	extinct
Brevimalictis_chikasha	extinct
Brevipalatus_mcculloughi	extinct
Broiliana	extinct
Broiliana_nobilis	extinct
Bryanictis_microlestes	extinct
Bryanictis_paulus	extinct
Builstynia_fontana	extinct
Buisnictis	extinct
Buisnictis_breviramus	extinct
Buisnictis_burrowsi	extinct
Buisnictis_metabatos	extinct
Buisnictis_schoffi	extinct
Bumbanius_ningi	extinct
Bumbanius_rarus	extinct
Butselia_biveri	extinct
Caedocyon_tedfordi	extinct
Callorhinus	extinct
Callorhinus_gilmorei	extinct
Callorhinus_ursinus	extant
Cambaya_complexus	extinct
Canidae	extinct
Caniformia	extinct
Caninae	extinct
Canini	extinct
Canis	extinct
Canis_adustus	extant
Canis_anthus	extant
Canis_apolloniensis	extinct
Canis_armbrusteri	extinct
Canis_aureus	extant
Canis_cedazoensis	extinct
Canis_dirus	extinct
Canis_edwardii	extinct
Canis_familiaris	extant
Canis_ferox	extinct
Canis_latrans	extant
Canis_lepophagus	extinct
Canis_lupus	extant
Canis_mesomelas	extant
Canis_proplatensis	extinct
Canis_(Pseudalopex)	extinct
Canis_rufus	extinct
Canis_thooides	extinct
Canoidea	extinct
Caracal	extinct
Caracal_caracal	extant
Caracal_serval	extant
Carnivora	extinct
Carollia	extinct
Carpocyon	extinct
Carpocyon_compressus	extinct
Carpocyon_limosus	extinct
Carpocyon_robustus	extinct
Carpocyon_webbi	extinct
Carposorex	extinct
Cecilionycteris_prisca	extinct
Cephalogale	extinct
Cephalogale_meschethense	extinct
Cephalogale_minor	extinct
Cerdocyon_avius	extinct
Cerdocyon_texanus	extinct
Cerdocyon_thous	extant
Cernictis_hesperus	extinct
Cernictis_repenningi	extinct
Ceutholestes	extinct
Ceutholestes_dolosus	extinct
Chadronycteris_rabenae	extinct
Chailicyon_crassidens	extinct
Chainodus	extinct
Chainodus_eggingensis	extinct
Chainodus_intercedens	extinct
Chainodus_sulcatus	extinct
Chainodus_ulmensis	extinct
Chambilestes_foussanensis	extinct
Chamitaxus_avitus	extinct
Changlelestes_dissetiformis	extinct
Chapalmalania	extinct
Chaprongictis_phetchaburiensis	extinct
Chasmaporthetes	extinct
Chasmaporthetes_ossifragus	extinct
Chibanycteris_herberti	extinct
Chimarrogale	extinct
Chiroptera	extinct
Chrotopterus_auritus	extant
Chrysocyon	extinct
Chrysocyon_brachyurus	extant
Chrysocyon_nearcticus	extinct
Circamustela	extinct
Civettictis	extinct
Civettictis_civetta	extant
Clapasorex_alvarezae	extinct
Clinopternodus_gracilis	extinct
Cokia_kowalskae	extinct
Cokia_robusta	extinct
Conepatus	extinct
Conepatus_leuconotus	extinct
Conepatus_robustus	extinct
Conepatus_sanmiguelensis	extinct
Conepatus_semistriatus	extant
Conepatus_suffocans	extinct
Cordylodon_haslachensis	extinct
Cormocyon	extinct
Cormocyon_copei	extinct
Cormocyon_haydeni	extinct
Craterogale_simus	extinct
Creodonta	extinct
Crocidosorex	extinct
Crocidosoricinae	extinct
Crocidura	extinct
Crocidura_russula	extinct
Crocidurinae	extinct
Crocuta	extinct
Crocuta_crocuta	extant
Crocuta_dbaa	extinct
Crossarchus	extinct
Crusafontina	extinct
Crusafontina_endemica	extinct
