Species	Status	min_age	max_age
Mergus_serrator	extant	0.0117	2.588
Mergus	extinct	0.0117	2.588
Milvus	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Anas_acuta	extant	0.0117	2.588
Phalacrocorax_carbo	extant	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anser_albifrons	extant	0.0117	2.588
Tadorna	extinct	0.0117	2.588
Anas_platyrhynchos	extant	0.0117	2.588
Anas	extinct	0.0117	2.588
Aythya	extinct	0.0117	2.588
Mergus_merganser	extant	0.0117	2.588
Mergus_serrator	extant	0.0117	2.588
Mergus	extinct	0.0117	2.588
Numenius	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Branta	extinct	0.0117	2.588
Struthio	extinct	5.333	7.246
Struthio	extinct	1.806	2.588
Struthio	extinct	1.806	2.588
Struthio	extinct	0.781	1.806
Struthio	extinct	0.781	2.588
Aves	extinct	2.588	5.333
Coraciiformes	extinct	46.2	50.3
Presbyornis	extinct	46.2	50.3
Strigiformes	extinct	46.2	50.3
Anatidae	extinct	20.43	24.8
Aves	extinct	5.333	23.03
Larus	extinct	2.588	3.6
Stercorarius	extinct	2.588	3.6
Egretta	extinct	2.588	3.6
Anabernicula	extinct	2.588	3.6
Recurvirostra	extinct	2.588	3.6
Calidris	extinct	2.588	3.6
Calidris	extinct	2.588	3.6
Hesperornithiformes	extinct	93.5	99.6
Struthio	extinct	11.62	13.82
Accipitridae	extinct	11.62	13.82
Accipitridae	extinct	0	2.588
Struthio_camelus	extant	0	2.588
Aves	extinct	0	0.0117
Aves	extinct	0	2.588
Aves	extinct	0.0117	2.588
Struthio_camelus	extant	0.0117	2.588
Struthio_camelus	extant	0	2.588
Francolinus	extinct	0.0117	5.333
Aves	extinct	0.0117	5.333
Coturnix	extinct	0.0117	5.333
Turnix	extinct	0.0117	5.333
Passer	extinct	0.0117	5.333
Ploceus	extinct	0.0117	5.333
Tyto	extinct	0.0117	5.333
Aves	extinct	0.0117	5.333
Struthionidae	extinct	0.781	2.588
Phalacrocorax	extinct	0.781	2.588
Aves	extinct	1.806	2.588
Aves	extinct	1.806	2.588
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Francolinus	extinct	1.806	2.588
Numida	extinct	1.806	2.588
Streptopelia	extinct	1.806	2.588
Francolinus	extinct	1.806	2.588
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Streptopelia	extinct	2.588	3.6
Francolinus	extinct	2.588	3.6
Aves	extinct	0.781	1.806
Accipitridae	extinct	0.0117	2.588
Aves	extinct	0.781	2.588
Plataleidae	extinct	0.781	2.588
Struthio	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Numida	extinct	0.0117	5.333
Aves	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Aves	extinct	0.0117	2.588
Plataleidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Phasianidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Struthio	extinct	0.0117	2.588
Plataleidae	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Francolinus	extinct	2.588	5.333
Numida	extinct	2.588	5.333
Aegypius	extinct	2.588	5.333
Francolinus	extinct	2.588	3.6
Numida	extinct	2.588	3.6
Bubo	extinct	2.588	3.6
Aves	extinct	0.781	1.806
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	2.588
Aves	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
Corvus	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
Pelecanus	extinct	0	0.0117
Francolinus	extinct	0	0.0117
Strigidae	extinct	0	0.0117
Aves	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
Aves	extinct	0	0.0117
Aves	extinct	0	0.0117
Struthio_camelus	extant	0	0.0117
Numida	extinct	0	0.0117
Corvus	extinct	0	0.0117
Struthio	extinct	0.781	2.588
Struthio	extinct	0.781	1.806
Struthio	extinct	0.781	1.806
Accipitridae	extinct	0	2.588
Phalacrocorax_carbo	extant	0	2.588
Pelecanus	extinct	0	2.588
Phalacrocorax	extinct	0	2.588
Anhinga	extinct	0	2.588
Egretta	extinct	0	2.588
Mycteria	extinct	0	2.588
Ciconiidae	extinct	0	2.588
Ciconiidae	extinct	0	2.588
Anas	extinct	0	2.588
Accipitridae	extinct	0	2.588
Accipitridae	extinct	0	2.588
Francolinus	extinct	0	2.588
Numenius	extinct	0	2.588
Corvus	extinct	0	2.588
Accipitridae	extinct	0	2.588
Larus	extinct	0	2.588
Larus	extinct	0	2.588
Bubo	extinct	0	2.588
Aves	extinct	11.62	13.82
Phasianidae	extinct	11.62	13.82
Ardeidae	extinct	11.62	13.82
Bucerotidae	extinct	11.62	13.82
Burhinidae	extinct	11.62	13.82
Aves	extinct	11.62	13.82
Gruidae	extinct	11.62	13.82
Ardeidae	extinct	11.62	13.82
Burhinidae	extinct	11.62	13.82
Otididae	extinct	11.62	13.82
Aves	extinct	0.126	0.781
Inguza_predemersus	extinct	5.333	11.608
Dege_hendeyi	extinct	3.6	5.333
Colius	extinct	3.6	5.333
Dege_hendeyi	extinct	3.6	5.333
Colius	extinct	2.588	23.03
Colius	extinct	3.6	5.333
Scopus	extinct	3.6	5.333
Ciconia	extinct	3.6	5.333
Aves	extinct	0.0117	5.333
Struthio	extinct	0.0117	5.333
Columba	extinct	0.0117	5.333
Aves	extinct	0.781	1.806
Struthionidae	extinct	0.781	1.806
Phalacrocorax	extinct	1.806	2.588
Bubo	extinct	1.806	2.588
Aves	extinct	1.806	2.588
Struthionidae	extinct	1.806	2.588
Struthionidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Struthionidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Phasianidae	extinct	2.588	5.333
Pelecanus	extinct	0.781	2.588
Colius	extinct	0.781	2.588
Phalacrocorax	extinct	0.781	1.806
Aves	extinct	0.781	2.588
Struthionidae	extinct	0.781	2.588
Balearica	extinct	10.3	13.6
Phalacrocorax	extinct	2.588	3.6
Potamornis_skutchi	extinct	66	70.6
Ephippiorhynchus	extinct	2.588	11.608
Ciconiidae	extinct	2.588	11.608
Ardea	extinct	2.588	11.608
Phalacrocorax	extinct	2.588	11.608
Anatidae	extinct	2.588	11.608
Aquatilavipes_izumiensis	extinct	129.4	132.9
Anas	extinct	0.0117	0.126
Meleagris_gallopavo	extant	0.0117	0.126
Cygnus_columbianus	extinct	0.0117	0.126
Anas_americana	extinct	0.0117	0.126
Confuciusornis_dui	extinct	122.46	130
Anatidae	extinct	4.9	10.3
Vorona_berivotrensis	extinct	66	72.1
Aves	extinct	15.97	20.43
Falconiformes	extinct	0.3	1.8
Aves	extinct	50.3	55.8
Telmatornis_priscus	extinct	61.7	70.6
Palaeotringa_littoralis	extinct	61.7	70.6
Graculavus_velox	extinct	61.7	70.6
Tytthostonyx_glauconiticus	extinct	61.7	70.6
Aves	extinct	61.7	70.6
Aves	extinct	0	0.0117
Anatidae	extinct	0.3	1.8
Aves	extinct	46.2	50.3
Aves	extinct	50.3	55.8
Aves	extinct	50.3	55.8
Urubitinga_enecta	extinct	15.97	20.43
Neophrontops_vetustus	extinct	15.97	20.43
Aramornis_longurio	extinct	15.97	20.43
Conuropsis_fratercula	extinct	15.97	20.43
Anserinae	extinct	15.97	20.43
Boreortalis	extinct	10.3	13.6
Grus_pratensis	extinct	10.3	13.6
Buteo	extinct	4.9	10.3
Passeriformes	extinct	1.8	10.3
Ortalis	extinct	10.3	13.6
Pliopicus	extinct	10.3	13.6
Botaurus	extinct	1.8	4.9
Egretta	extinct	1.8	4.9
Egretta	extinct	1.8	4.9
Egretta	extinct	1.8	4.9
Plegadis	extinct	1.8	4.9
Aves	extinct	40.4	46.2
Podilymbus	extinct	1.8	4.9
Eudocimus	extinct	1.8	4.9
Anas	extinct	1.8	4.9
Rallus	extinct	1.8	4.9
Porphyrula	extinct	1.8	4.9
Fulica	extinct	1.8	4.9
Passeriformes	extinct	1.8	4.9
Fulica_americana	extant	0.126	0.781
Aythya_affinis	extinct	0.126	0.781
Aves	extinct	23.03	28.1
Aves	extinct	15.97	20.44
Aves	extinct	15.97	20.44
Iberomesornis_romerali	extinct	125.45	130
Tereingaornis_moisleyi	extinct	3	3.6
Uria	extinct	0.3	1.8
Rallus	extinct	0.3	1.8
Aves	extinct	48.6	58.7
Aves	extinct	0.0117	2.588
Dromaius_novaehollandiae	extinct	0.126	0.781
Coturnix	extinct	0.126	0.781
Coturnix	extinct	0.126	0.781
Turnix	extinct	0.126	0.781
Turnix_varia	extant	0.126	0.781
Rallus_philippensis	extant	0.126	0.781
Tringa	extinct	0.126	0.781
Gallinago	extinct	0.126	0.781
Calidris	extinct	0.126	0.781
Tyto	extinct	0.126	0.781
Enantiornithes	extinct	70.6	83.5
Aves	extinct	37.2	48.6
Aves	extinct	37.2	48.6
Struthionidae	extinct	0.0117	5.333
Enantiornis_leali	extinct	66	70.6
Titanis_walleri	extinct	1.8	4.9
Anhinga_grandis	extinct	10.3	13.6
Anhinga_grandis	extinct	4.9	10.3
Anhinga_grandis	extinct	4.9	10.3
Aves	extinct	89.8	93.9
Aves	extinct	15.97	66
Struthionidae	extinct	5.333	11.608
Nettion_ogallalae	extinct	10.3	13.6
Aves	extinct	56	59.2
Aves	extinct	56	59.2
Aves	extinct	56	59.2
Aves	extinct	56	59.2
Aves	extinct	56	59.2
Aves	extinct	56	59.2
Spheniscidae	extinct	28.4	37.2
Aves	extinct	47.8	56
Spheniscidae	extinct	47.8	56
Aves	extinct	41.3	47.8
Struthionidae	extinct	2.588	5.333
Aegypius	extinct	2.588	5.333
Francolinus	extinct	2.588	5.333
Francolinus	extinct	2.588	5.333
Numida	extinct	2.588	5.333
Bubo	extinct	2.588	5.333
Aves	extinct	2.588	3.6
Struthio	extinct	2.588	3.6
Aves	extinct	0.781	2.588
Aves	extinct	0.781	2.588
Enantiornithes	extinct	132.9	139.8
Spheniscidae	extinct	47.8	56
Charadriiformes	extinct	66	83.5
Aves	extinct	5.333	11.608
Aepyornithidae	extinct	7.246	11.62
Struthio	extinct	7.246	11.62
Anhinga	extinct	7.246	11.62
Ardeidae	extinct	7.246	11.62
Ciconiidae	extinct	7.246	11.62
Anatidae	extinct	7.246	11.62
Rallidae	extinct	7.246	11.62
Strigidae	extinct	7.246	11.62
Aves	extinct	7.246	11.62
Struthio	extinct	2.588	11.62
Pelecanus	extinct	2.588	11.62
Anhinga	extinct	2.588	11.62
Ardeidae	extinct	2.588	11.62
Leptoptilos	extinct	2.588	11.62
Anatidae	extinct	2.588	11.62
Rallidae	extinct	2.588	11.62
Aves	extinct	2.588	11.62
Strigiformes	extinct	0.0117	2.588
Gypaetus_barbatus	extinct	0.0117	2.588
Coturnix	extinct	0.0117	2.588
Columba_livia	extant	0.0117	2.588
Otus	extinct	0.0117	2.588
Athene	extinct	0.0117	2.588
Strix	extinct	0.0117	2.588
Parus	extinct	0.0117	2.588
Carduelis	extinct	0.0117	2.588
Carduelis	extinct	0.0117	2.588
Struthio	extinct	2.588	11.62
Leptoptilos	extinct	2.588	11.62
Aves	extinct	2.588	11.62
Struthio	extinct	2.588	5.333
Meleagris_gallopavo	extant	0.0117	0.126
Larus	extinct	0.0117	0.126
Tyto	extinct	0.0117	0.126
Ardea_herodias	extant	0.0117	0.126
Mycteria	extinct	0.0117	0.126
Aves	extinct	0.0117	0.126
Ardeidae	extinct	0.0117	0.126
Ardea	extinct	0.0117	0.126
Cathartes_aura	extant	0.0117	0.126
Querquedula_floridiana	extinct	0.0117	0.126
Nyctanassa_violacea	extant	0.0117	0.126
Baptornis	extinct	70.6	83.5
Aves	extinct	0.126	0.781
Struthio	extinct	0.0117	2.588
Baptornis	extinct	70.6	83.5
Baptornis	extinct	70.6	83.5
Baptornis	extinct	70.6	83.5
Aves	extinct	0.126	0.781
Struthio	extinct	3.2	5.333
Struthio	extinct	2.588	5.333
Struthio	extinct	5.333	11.608
Euenantiornithes	extinct	70.6	83.5
Ichthyornis_dispar	extinct	85.8	89.3
Ichthyornis_dispar	extinct	70.6	83.5
Ichthyornis_dispar	extinct	70.6	83.5
Aves	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Anas	extinct	0.0117	2.588
Anas_crecca	extant	0.0117	2.588
Falco	extinct	0.0117	2.588
Coturnix	extinct	0.0117	2.588
Porzana	extinct	0.0117	2.588
Limosa	extinct	0.0117	2.588
Scolopax	extinct	0.0117	2.588
Columba_livia	extant	0.0117	2.588
Alauda	extinct	0.0117	2.588
Eremophila_alpestris	extinct	0.0117	2.588
Hirundo	extinct	0.0117	2.588
Turdus	extinct	0.0117	2.588
Turdus	extinct	0.0117	2.588
Turdus	extinct	0.0117	2.588
Sturnus	extinct	0.0117	2.588
Corvidae	extinct	0.0117	2.588
Corvus	extinct	0.0117	2.588
Laridae	extinct	0.781	2.588
Aves	extinct	2.588	3.2
Falco	extinct	0.126	0.781
Coturnix	extinct	0.126	0.781
Otis	extinct	0.126	0.781
Otis	extinct	0.126	0.781
Palaeocryptonyx	extinct	0.0117	5.333
Picidae	extinct	0.0117	5.333
Turdus	extinct	0.0117	5.333
Turdus	extinct	0.0117	5.333
Corvidae	extinct	0.0117	5.333
Corvus	extinct	0.0117	5.333
Corvus_pliocaenus	extinct	0.0117	5.333
Tachybaptus	extinct	0.126	2.588
Anas_crecca	extant	0.126	2.588
Anas_platyrhynchos	extant	0.126	2.588
Anas_clypeata	extinct	0.126	2.588
Anas	extinct	0.126	2.588
Anas	extinct	0.126	2.588
Aythya	extinct	0.126	2.588
Aythya	extinct	0.126	2.588
Aythya	extinct	0.126	2.588
Aythya	extinct	0.126	2.588
Bubo	extinct	0.126	2.588
Struthio	extinct	5.333	11.608
Struthio	extinct	5.333	11.608
