Branta,41.849998,12.200000
Anas,41.849998,12.200000
Anas,41.849998,12.200000
Idiornis,44.166668,1.733333
Aegialornis,44.166668,1.733333
Aegialornis,44.166668,1.733333
Primocolius,44.166668,1.733333
Podiceps,40.161945,-1.234444
Palaeotis,51.321945,11.953611
Martinavis,-26.066668,-65.366669
Avisaurus,46.099998,-103.300003
Vegavis,-63.870556,-57.574444
Apsaravis,43.664444,100.901947
Copepteryx,33.983467,130.836151
Copepteryx,33.987499,130.821396
Puffinus,28.114721,-115.175552
Megapaloelodus,28.114721,-115.175552
Cerorhinca,28.114721,-115.175552
Mancalla,28.114721,-115.175552
Avisaurus,47.599998,-107.000000
Rahonavis,-15.900000,46.583332
Archaeotrogon,44.383331,1.433333
Eleutherornis,47.316666,7.766667
Gargantuavis,42.913700,2.200000
Lonchodytes,43.150002,-104.566704
Aethia,33.200001,-117.366669
Eoalulavis,40.064526,-1.880849
Confuciusornis,41.601398,120.872200
Confuciusornis,41.601398,120.872200
Microsula,48.634724,16.061111
Phalacrocorax,48.634724,16.061111
Struthio,-30.040556,17.245277
Pseudaptenodytes,-37.908051,142.374435
Pseudaptenodytes,-37.992779,145.042221
Diomedea,-37.992779,145.042221
Pelecanus,-31.166668,140.233337
Bubo,40.380833,9.693889
Buteo,40.380833,9.693889
Columba,40.380833,9.693889
Bubo,40.380833,9.693889
Pyrrhocorax,40.380833,9.693889
Bubo,40.380833,9.693889
Lectavis,-26.066668,-65.366669
Soroavisaurus,-26.066668,-65.366669
Yungavolucris,-26.066668,-65.366669
Morus,36.996387,-122.004997
Sula,37.011108,-122.010696
Morus,37.011108,-122.010696
Puffinus,37.011108,-122.010696
Puffinus,33.597778,-117.702499
Osteodontornis,33.597778,-117.702499
Morus,33.597778,-117.702499
Praemancalla,33.597778,-117.702499
Gavia,35.166698,-120.733299
Jindongornipes,34.899399,128.147095
Jindongornipes,34.992802,128.453094
Uhangrichnus,34.991100,128.403305
Nanortyx,49.513332,-108.830002
Pasquiaornis,53.210037,-103.522636
Pasquiaornis,53.210037,-103.522636
Archaeopteryx,48.993889,11.203056
Archaeopteryx,48.893055,10.961667
Archaeopteryx,48.892776,10.961944
Archaeopteryx,49.001389,11.703333
Archaeopteryx,48.933331,11.150000
Anas,39.799999,-98.099998
Meleagris,39.799999,-77.199997
Colinus,39.799999,-77.199997
Podilymbus,27.799999,-82.800003
Anhinga,27.799999,-82.800003
Aythya,27.799999,-82.800003
Rallus,27.799999,-82.800003
Rallus,27.799999,-82.800003
Rallus,27.799999,-82.800003
Archaeopteryx,48.900002,11.900000
Eretiscus,-43.301945,-65.419441
Cimolopteryx,43.116329,-104.637001
Phalacrocorax,27.830278,-80.811386
Gobipteryx,43.516701,109.116699
Branta,36.791668,-76.170280
Podiceps,36.791668,-76.170280
Uria,36.791668,-76.170280
Sazavis,42.117294,62.655315
Zhyraornis,42.117294,62.655315
Plotopterum,35.492779,-118.848335
Spheniscus,-14.558056,-75.671387
Pullornipes,41.744720,120.940559
Sarjeantopodus,43.368610,-104.697777
Koreanornis,29.603611,103.443054
Tatarornipes,38.912224,107.295830
Tatarornipes,38.691666,107.342499
Uhangrichnus,34.500000,126.400002
Hwangsanipes,34.500000,126.400002
Koreanaornis,34.886665,128.132217
Koreanaornis,34.886665,128.132217
Koreanaornis,35.305557,128.533340
Gansus,39.866669,96.766670
Podiceps,35.359722,-76.817497
Pterodromoides,40.050278,3.825833
Gavia,35.359722,-76.817497
Gavia,35.359722,-76.817497
Gavia,35.359722,-76.817497
Podiceps,35.359722,-76.817497
Pterodromoides,35.359722,-76.817497
Procellaria,35.359722,-76.817497
Procellaria,35.359722,-76.817497
Pterodroma,35.359722,-76.817497
Calonectris,35.359722,-76.817497
Calonectris,35.359722,-76.817497
Puffinus,35.359722,-76.817497
Puffinus,35.359722,-76.817497
Puffinus,35.359722,-76.817497
Puffinus,35.359722,-76.817497
Pelecanus,35.359722,-76.817497
Gavia,35.400002,-76.800003
Puffinus,35.400002,-76.800003
Morus,35.359722,-76.817497
Phalacrocorax,35.359722,-76.817497
Stercorarius,35.359722,-76.817497
Stercorarius,35.359722,-76.817497
Stercorarius,35.359722,-76.817497
Larus,35.359722,-76.817497
Larus,35.359722,-76.817497
Larus,35.359722,-76.817497
Larus,35.359722,-76.817497
Sterna,35.359722,-76.817497
Sterna,35.359722,-76.817497
Alca,35.359722,-76.817497
Alca,35.359722,-76.817497
Alca,35.359722,-76.817497
Pinguinus,35.359722,-76.817497
Miocepphus,35.359722,-76.817497
Fratercula,35.359722,-76.817497
Fratercula,35.359722,-76.817497
Cygnus,35.359722,-76.817497
Anser,35.359722,-76.817497
Branta,35.359722,-76.817497
Anas,35.359722,-76.817497
Anas,35.359722,-76.817497
Anas,35.359722,-76.817497
Anas,35.359722,-76.817497
Anas,35.359722,-76.817497
Aythya,35.359722,-76.817497
Somateria,35.359722,-76.817497
Melanitta,35.359722,-76.817497
Melanitta,35.359722,-76.817497
Bucephala,35.359722,-76.817497
Bucephala,35.359722,-76.817497
Mergus,35.359722,-76.817497
Grus,35.359722,-76.817497
Grus,35.359722,-76.817497
Haematopus,35.359722,-76.817497
Haematopus,35.359722,-76.817497
