Species	Status	min_age	max_age
Simpsonictis_tenuis	extinct	61.7	63.3
Simpsonictis_pegus	extinct	61.7	63.3
Bryanictis_microlestes	extinct	61.7	63.3
Protictis_haydenianus	extinct	61.7	63.3
Bryanictis_microlestes	extinct	61.7	63.3
Protictis_(Protictis)	extinct	61.7	63.3
Protictis_(Protictis)	extinct	61.7	63.3
Protictis_(Protictis)	extinct	61.7	63.3
Creodonta	extinct	56.8	61.7
Leptacodon	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Protictis_paralus	extinct	56.8	61.7
Miacidae	extinct	56.8	61.7
Diacocherus_meizon	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Leptacodon_munusculum	extinct	56.8	61.7
Diacocherus_meizon	extinct	56.8	61.7
Protictis_agastor	extinct	56.8	61.7
Protictis_paralus	extinct	56.8	61.7
Raphictis_gausion	extinct	56.8	61.7
Tytthaena_parrisi	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Leptacodon_munusculum	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Nyctitherium	extinct	56.8	61.7
Limaconyssus	extinct	56.8	61.7
Nyctitheriidae	extinct	56.8	61.7
Simpsonictis_pegus	extinct	56.8	61.7
Simpsonictis_tenuis	extinct	56.8	61.7
Pristinictis_connata	extinct	56.8	61.7
Creodonta	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Didymictis_proteus	extinct	56.8	61.7
Nyctitheriidae	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Talpavoides_dartoni	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Raphictis_gausion	extinct	56.8	61.7
Raphictis	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Protictis_paralus	extinct	56.8	61.7
Viverravinae	extinct	56.8	61.7
Miacidae	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Xenacodon_mutilatus	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Nyctitherium	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Protictis_haydenianus	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Diacocherus_meizon	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Didymictis_proteus	extinct	56.8	61.7
Raphictis_gausion	extinct	56.8	61.7
Raphictis	extinct	56.8	61.7
Simpsonictis_tenuis	extinct	56.8	61.7
Melaniella_timosa	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Protictis_paralus	extinct	56.8	61.7
Raphictis_gausion	extinct	56.8	61.7
Diacocherus_meizon	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Nyctitheriidae	extinct	56.8	61.7
Viverravus_laytoni	extinct	56.8	61.7
Didymictis_proteus	extinct	56.8	61.7
Miacidae	extinct	56.8	61.7
Leptacodon	extinct	56.8	61.7
Bryanictis_microlestes	extinct	56.8	61.7
Protictis	extinct	56.8	61.7
Leptacodon_munusculum	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Bryanictis_microlestes	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Leptacodon_munusculum	extinct	56.8	61.7
Diacocherus_meizon	extinct	56.8	61.7
Tytthaena_parrisi	extinct	56.8	61.7
Protictis_agastor	extinct	56.8	61.7
Protictis_paralus	extinct	56.8	61.7
Raphictis_gausion	extinct	56.8	61.7
Didymictis_proteus	extinct	55.8	58.7
Leptacodon_munusculum	extinct	56.8	61.7
Protictis_(Bryanictis)	extinct	56.8	61.7
Simpsonictis	extinct	56.8	61.7
Protictis_paralus	extinct	56.8	61.7
Viverravus_politus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Leptacodon_packi	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Viverravinae	extinct	56.8	61.7
Viverravidae	extinct	56.8	61.7
Propalaeanodon_schaffi	extinct	56.8	61.7
Leptacodon	extinct	56.8	61.7
Didymictis	extinct	56.8	61.7
Didymictis	extinct	55.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Nyctitherium	extinct	56.8	61.7
Protictis_haydenianus	extinct	56.8	61.7
Bryanictis_microlestes	extinct	56.8	61.7
Carnivora	extinct	56.8	61.7
Didymictis	extinct	56.8	61.7
Leptacodon_packi	extinct	56.8	61.7
Diacocherus_minutus	extinct	56.8	61.7
Apternodontidae	extinct	56.8	61.7
Didymictis_proteus	extinct	56.8	61.7
Viverravus_politus	extinct	56.8	61.7
Viverravus_laytoni	extinct	56.8	61.7
Viverravinae	extinct	56.8	61.7
Propalaeanodon_schaffi	extinct	56.8	61.7
Dipsalodon_churchillorum	extinct	56.8	61.7
Viverravus_politus	extinct	56.8	61.7
Leptacodon_tener	extinct	56.8	61.7
Protictis	extinct	56.8	61.7
Viverravus_politus	extinct	56.8	61.7
Bryanictis_microlestes	extinct	56.8	61.7
Simpsonictis	extinct	56.8	61.7
Dipsalodon_churchillorum	extinct	56.8	61.7
Viverravus_politus	extinct	56.8	61.7
Plagioctenodon	extinct	55.8	56.8
Wyonycteris	extinct	55.8	56.8
Limaconyssus	extinct	55.8	56.8
Ceutholestes	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Viverravus	extinct	55.8	56.8
Palaeanodon_parvulus	extinct	55.8	56.8
Viverravus	extinct	55.8	56.8
Viverravus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Plagioctenodon_rosei	extinct	55.8	56.8
Leptacodon	extinct	55.8	56.8
Plagioctenodon_krausae	extinct	55.8	56.8
Limaconyssus_habrus	extinct	55.8	56.8
Wyonycteris_chalix	extinct	55.8	56.8
Icaronycteris	extinct	55.8	56.8
Viverravus_laytoni	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Plagioctenodon_rosei	extinct	55.8	56.8
Plagioctenodon_krausae	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_laytoni	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Dipsalodon_matthewi	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Dipsalidictis_krausei	extinct	55.8	56.8
Pontifactor_bestiola	extinct	55.8	56.8
Plagioctenodon_krausae	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Palaeanodon_parvulus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Dipsalidictis_transiens	extinct	55.8	56.8
Dipsalidictis_platypus	extinct	55.8	56.8
Dipsalodon_churchillorum	extinct	55.8	56.8
Dipsalodon_matthewi	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Viverravus_acutus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_acutus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Dipsalidictis_platypus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Dipsalidictis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Palaeonictis_peloria	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Dipsalidictis_krausei	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Palaeonictis_peloria	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Ceutholestes_dolosus	extinct	55.8	56.8
Plagioctenodon_rosei	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalodon_matthewi	extinct	55.8	56.8
Dipsalidictis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Dipsalidictis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Tytthaena_lichna	extinct	55.8	56.8
Dipsalodon_matthewi	extinct	55.8	56.8
Dipsalodon	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Plagioctenodon_rosei	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_acutus	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Palaeanodon_parvulus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Viverravus_laytoni	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Tytthaena_lichna	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Dipsalidictis_krausei	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Palaeonictis_peloria	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_krausei	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_laytoni	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Dipsalidictis_aequidens	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Dipsalidictis_platypus	extinct	55.8	56.8
Viverravus_acutus	extinct	55.8	56.8
Diacocherus_minutus	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Viverravus_politus	extinct	55.8	56.8
Uintacyon_rudis	extinct	55.8	56.8
Palaeanodon_parvulus	extinct	55.8	56.8
Didymictis_protenus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Tytthaena_lichna	extinct	55.8	56.8
Didymictis	extinct	55.8	56.8
Oxyaena_intermedia	extinct	50.3	55.8
Miacis	extinct	50.3	55.8
Diacodon_alticuspis	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Viverravus_lutosus	extinct	50.3	55.8
Didymictis	extinct	50.3	55.8
Palaeonictis_occidentalis	extinct	55.8	56.8
Palaeonictis_occidentalis	extinct	55.8	56.8
Didymictis_proteus	extinct	55.8	56.8
